dataset_id,run_id,threads,rep,n_files,bytes_processed,wall_s,throughput_mb_s,parallel_efficiency
D2,D2_strong_20260719_203139,1,0,800,223833330,0.4184053000062704,510.1849760829643,0.8670980124064807
D2,D2_strong_20260719_203139,1,1,800,223833330,0.33860650000860915,630.4193746170176,1.0714454802449158
D2,D2_strong_20260719_203139,1,2,800,223833330,0.34179299999959767,624.5420414605795,1.061456507348604
D2,D2_strong_20260719_203139,2,0,800,223833330,0.3242220999673009,658.3884873924796,0.5594905530072811
D2,D2_strong_20260719_203139,2,1,800,223833330,0.3198260000208393,667.4382256688814,0.56718091085799
D2,D2_strong_20260719_203139,2,2,800,223833330,0.3168498000013642,673.7075357969785,0.5725084945835728
D2,D2_strong_20260719_203139,4,0,800,223833330,0.285412399971392,747.9145895486002,0.317784374515735
D2,D2_strong_20260719_203139,4,1,800,223833330,0.29020450002280995,735.5643966923544,0.3125368524499607
D2,D2_strong_20260719_203139,4,2,800,223833330,0.32669760001590475,653.3996514400241,0.2776255503546032
D2,D2_strong_20260719_203139,8,0,800,223833330,0.31685190001735464,673.7030706301357,0.14312617503473354
D2,D2_strong_20260719_203139,8,1,800,223833330,0.2998026999994181,712.015261960946,0.15126548394013734
D2,D2_strong_20260719_203139,8,2,800,223833330,0.36527140001999214,584.3986087194377,0.1241537128269273
D2,D2_strong_20260719_203139,16,0,800,223833330,0.34450419998029247,619.6269827447558,0.06581893704716234
D2,D2_strong_20260719_203139,16,1,800,223833330,0.3364174999878742,634.5213848399047,0.06740107233364254
D2,D2_strong_20260719_203139,16,2,800,223833330,0.2926597999758087,729.3933023747352,0.07747869797239047
