dataset_id,run_id,data_dir,n_files,bytes_total_on_disk,bytes_processed,processed_gb,wall_s,t_bytes_mb_s,t_files_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_mean_ci95_lo_ms,latency_mean_ci95_hi_ms,cpu_utilization_percent,rss_peak_mb,kem_failures,aes_failures,correctness_sample_n,correctness_sample_kem_failures,correctness_sample_aes_failures,max_bytes_per_file,kem_alg,kind_binaries_files,kind_binaries_bytes,kind_binaries_throughput_mb_s,kind_images_files,kind_images_bytes,kind_images_throughput_mb_s,kind_other_files,kind_other_bytes,kind_other_throughput_mb_s,kind_text_files,kind_text_bytes,kind_text_throughput_mb_s
D1,D1_r1,data\user_data\D1,126,4073443180,4073443180,3.793689589947462,19.432399399986025,199.9103692830128,6.484016585213384,66.723,609.32355,924.644675,138.63338968253964,109.36045176587302,171.82447716269843,11.076057596889182,70.3671875,0,0,100,0,0,0,ML-KEM-1024,49.0,3551850042.0,274.7364917581612,75.0,521592064.0,98.31897873718404,1,732,0.017151867903573,1,342,0.0084781627392355
D1,D1_r2,data\user_data\D1,126,4073443180,4073443180,3.793689589947462,13.852318999997806,280.4395524032342,9.095949927230231,54.04545,358.318075,538.909075,97.42425317460318,80.01718980158729,116.94665956349203,12.43586904113508,70.4609375,0,0,100,0,0,0,ML-KEM-1024,49.0,3551850042.0,413.75601508977127,75.0,521592064.0,124.0594805088749,1,732,0.0189916561593727,1,342,0.0076979649417722
D1,D1_r3,data\user_data\D1,126,4073443180,4073443180,3.793689589947462,13.580096600053366,286.0611565967016,9.278284515259257,52.60005,353.349775,511.94055,95.60088571428572,78.95765587301587,114.29150686507934,12.411891642901688,70.47265625,0,0,100,0,0,0,ML-KEM-1024,49.0,3551850042.0,420.1236994567664,75.0,521592064.0,127.4138720779058,1,732,0.0178939980675264,1,342,0.0081511643872927
D2,D2_r1,data\user_data\D2,23785,16106384664,16106384664,15.00023963302374,1031.443688399973,14.891986404070089,23.059911333498462,39.1536,51.62924,78.01164399999999,41.25686578936304,41.07865075499264,41.4447858752365,11.713330316405,101.84765625,0,0,100,0,0,0,ML-KEM-1024,,,,23263.0,6442708223.0,6.573666221240232,40,3221225472,289.2356081911637,482,6442450969,170.67679936749406
D2,D2_r2,data\user_data\D2,23785,16106384664,16106384664,15.00023963302374,3301.7857926000142,4.652102331605461,7.203677492739569,42.5814,92.24302,131.85365599999997,126.7504092915703,50.02713080733656,279.94944110258564,4.454679788878057,101.43359375,0,0,100,0,0,0,ML-KEM-1024,,,,23263.0,6442708223.0,2.0824894450075067,40,3221225472,229.2147545716592,482,6442450969,120.65201100257296
D2,D2_r3,data\user_data\D2,23785,16106384664,16106384664,15.00023963302374,3310.0651824000524,4.640466135195243,7.185659100149213,42.2895,87.56746,119.05584,138.70172414126552,49.314926514189615,317.212854904877,4.382820601883435,102.6875,0,0,100,0,0,0,ML-KEM-1024,,,,23263.0,6442708223.0,1.8906322300282965,40,3221225472,279.0412904264476,482,6442450969,160.94291022689788
D3,D3_r1,data\user_data\D3,835,42949673035,42949673035,40.00000006984919,174.2979174000211,234.99993965803185,4.790648175581121,89.17830000000001,686.8028499999998,1282.2125939999978,184.76850682634733,168.96860880838324,201.3432210508982,10.746237837720562,71.51171875,0,0,100,0,0,0,ML-KEM-1024,153.0,25769803776.0,307.3139285720274,,,,105,8589934592,290.82328977658153,577,8589934667,177.53485131926766
D3,D3_r2,data\user_data\D3,835,42949673035,42949673035,40.00000006984919,5242.838375499996,7.812562039473384,0.1592648752824405,107.8379,781.9124099999999,1416.2265699999978,6251.104614970059,203.73181867664672,18330.61245033833,0.4315410542832595,70.796875,0,0,100,0,0,0,ML-KEM-1024,153.0,25769803776.0,4.792136447214578,,,,105,8589934592,239.740128490232,577,8589934667,143.46642809124992
D3,D3_r3,data\user_data\D3,835,42949673035,42949673035,40.00000006984919,251.96464989997912,162.56248679243384,3.3139569393225,145.9241,961.3453899999997,1510.6801399999993,270.47773724550893,242.9091785299401,305.17992154491014,9.614288903072831,26.19921875,0,0,100,0,0,0,ML-KEM-1024,153.0,25769803776.0,212.35646337052682,,,,105,8589934592,220.00093489655106,577,8589934667,112.39968248195278
